article_name;fecha;kg_act;price_act;
FTE. POTON;2025-06-14;182402,3333333333;4,097041437976804;
FTE. POTON;2025-06-30;182402,3333333333;4,097041437976804;
FTE. POTON;2025-07-31;215622,3333333333;4,092704461510073;
FTE. POTON;2025-08-31;139819,3333333333;4,092704461510073;
FTE. POTON;2025-09-30;;42924,333333333314;4,092704461510073
